k,accuracy,f1_0,f1_1
37,0.889763779527559,0.8627450980392157,0.9078947368421053
37,0.8608923884514436,0.8284789644012945,0.8830022075055187
37,0.8871391076115486,0.8643533123028391,0.903370786516854
37,0.8766404199475065,0.8488745980707395,0.8957871396895787
37,0.8818897637795275,0.8524590163934426,0.9015317286652079
37,0.889763779527559,0.8679245283018868,0.9054054054054054
37,0.8976377952755905,0.8753993610223643,0.9131403118040089
37,0.8451443569553806,0.8013468013468014,0.8731182795698925
37,0.889763779527559,0.864516129032258,0.9070796460176991
37,0.9133858267716536,0.8978328173374613,0.9248291571753986
38,0.889763779527559,0.8627450980392157,0.9078947368421053
38,0.8608923884514436,0.8284789644012945,0.8830022075055187
38,0.8871391076115486,0.8643533123028391,0.903370786516854
38,0.8766404199475065,0.8488745980707395,0.8957871396895787
38,0.8818897637795275,0.8524590163934426,0.9015317286652079
38,0.889763779527559,0.8679245283018868,0.9054054054054054
38,0.8923884514435696,0.8690095846645367,0.9086859688195991
38,0.847769028871391,0.8066666666666666,0.8744588744588745
38,0.89501312335958,0.8717948717948718,0.9111111111111111
38,0.9133858267716536,0.8978328173374613,0.9248291571753986
39,0.8871391076115486,0.8590163934426229,0.9059080962800875
39,0.8608923884514436,0.8284789644012945,0.8830022075055187
39,0.8871391076115486,0.8643533123028391,0.903370786516854
39,0.8740157480314961,0.8461538461538461,0.8933333333333333
39,0.8818897637795275,0.8524590163934426,0.9015317286652079
39,0.884514435695538,0.8607594936708861,0.9013452914798207
39,0.8923884514435696,0.8681672025723473,0.9090909090909091
39,0.84251968503937,0.7986577181208053,0.8706896551724138
39,0.889763779527559,0.864516129032258,0.9070796460176991
39,0.9133858267716536,0.8978328173374613,0.9248291571753986
40,0.8923884514435696,0.8655737704918033,0.9102844638949672
40,0.8582677165354331,0.8258064516129032,0.8805309734513275
40,0.8871391076115486,0.8643533123028391,0.903370786516854
40,0.8766404199475065,0.8488745980707395,0.8957871396895787
40,0.8818897637795275,0.8524590163934426,0.9015317286652079
40,0.8923884514435696,0.8706624605678234,0.9078651685393259
40,0.9002624671916011,0.8782051282051282,0.9155555555555556
40,0.8451443569553806,0.802675585284281,0.8725701943844493
40,0.89501312335958,0.8709677419354839,0.911504424778761
40,0.910761154855643,0.8950617283950617,0.9223744292237442
41,0.889763779527559,0.8627450980392157,0.9078947368421053
41,0.8608923884514436,0.8295819935691319,0.8824833702882483
41,0.884514435695538,0.8607594936708861,0.9013452914798207
41,0.8818897637795275,0.8553054662379421,0.9002217294900222
41,0.8818897637795275,0.8524590163934426,0.9015317286652079
41,0.8923884514435696,0.8706624605678234,0.9078651685393259
41,0.8923884514435696,0.8681672025723473,0.9090909090909091
41,0.8503937007874016,0.8093645484949833,0.8768898488120951
41,0.89501312335958,0.8709677419354839,0.911504424778761
41,0.9133858267716536,0.8978328173374613,0.9248291571753986
42,0.8871391076115486,0.858085808580858,0.906318082788671
42,0.863517060367454,0.8311688311688312,0.8854625550660793
42,0.889763779527559,0.8670886075949367,0.905829596412556
42,0.8818897637795275,0.8562300319488818,0.8997772828507795
42,0.8818897637795275,0.8524590163934426,0.9015317286652079
42,0.8923884514435696,0.8706624605678234,0.9078651685393259
42,0.8871391076115486,0.8626198083067093,0.9042316258351893
42,0.84251968503937,0.7986577181208053,0.8706896551724138
42,0.8976377952755905,0.8745980707395499,0.9135254988913526
42,0.916010498687664,0.9006211180124224,0.9272727272727272
43,0.889763779527559,0.8618421052631579,0.9082969432314411
43,0.863517060367454,0.8311688311688312,0.8854625550660793
43,0.889763779527559,0.8670886075949367,0.905829596412556
43,0.884514435695538,0.8589743589743589,0.9022222222222223
43,0.8792650918635171,0.8496732026143791,0.8991228070175439
43,0.889763779527559,0.8670886075949367,0.905829596412556
43,0.8923884514435696,0.8681672025723473,0.9090909090909091
43,0.8346456692913385,0.7878787878787878,0.864516129032258
43,0.8923884514435696,0.8673139158576052,0.9094922737306843
43,0.9133858267716536,0.8978328173374613,0.9248291571753986
44,0.8871391076115486,0.858085808580858,0.906318082788671
