hyperparameters,k,accuracy,f1_0,f1_1
ignore,36,0.9133858267716536,0.897196261682243,0.9251700680272109
ignore,36,0.8503937007874016,0.8155339805825242,0.8741721854304636
ignore,36,0.916010498687664,0.8980891719745223,0.9285714285714286
ignore,37,0.8582677165354331,0.8175675675675675,0.8841201716738197
ignore,37,0.8713910761154856,0.8444444444444444,0.8903803131991052
ignore,37,0.8976377952755905,0.8769716088328076,0.9123595505617977
ignore,37,0.89501312335958,0.8765432098765432,0.908675799086758
ignore,37,0.884514435695538,0.8543046357615894,0.9043478260869565
ignore,37,0.868766404199475,0.831081081081081,0.8927038626609443
ignore,37,0.8713910761154856,0.8473520249221184,0.8888888888888888
ignore,37,0.9133858267716536,0.897196261682243,0.9251700680272109
ignore,37,0.8451443569553806,0.8078175895765473,0.8703296703296703
ignore,37,0.916010498687664,0.896774193548387,0.9292035398230089
ignore,38,0.8582677165354331,0.8175675675675675,0.8841201716738197
ignore,38,0.868766404199475,0.8417721518987342,0.8878923766816144
ignore,38,0.9002624671916011,0.8805031446540881,0.9144144144144144
ignore,38,0.89501312335958,0.8773006134969326,0.908256880733945
ignore,38,0.8818897637795275,0.8504983388704319,0.9023861171366594
ignore,38,0.8713910761154856,0.835016835016835,0.8946236559139785
ignore,38,0.8713910761154856,0.8473520249221184,0.8888888888888888
ignore,38,0.910761154855643,0.89375,0.9230769230769231
ignore,38,0.8503937007874016,0.8143322475570033,0.8747252747252747
ignore,38,0.9238845144356955,0.9067524115755627,0.9356984478935698
ignore,39,0.8582677165354331,0.8175675675675675,0.8841201716738197
ignore,39,0.8713910761154856,0.8444444444444444,0.8903803131991052
ignore,39,0.9002624671916011,0.879746835443038,0.9147982062780269
ignore,39,0.8976377952755905,0.88,0.9107551487414187
ignore,39,0.8766404199475065,0.842809364548495,0.8984881209503239
ignore,39,0.8713910761154856,0.835016835016835,0.8946236559139785
ignore,39,0.8740157480314961,0.8509316770186336,0.8909090909090909
ignore,39,0.910761154855643,0.89375,0.9230769230769231
ignore,39,0.8530183727034121,0.8181818181818182,0.8766519823788547
ignore,39,0.9133858267716536,0.8938906752411575,0.926829268292683
ignore,40,0.8608923884514436,0.8215488215488216,0.886021505376344
ignore,40,0.8713910761154856,0.8454258675078864,0.8898876404494382
ignore,40,0.9028871391076115,0.8840125391849529,0.9164785553047404
ignore,40,0.8976377952755905,0.88,0.9107551487414187
ignore,40,0.8792650918635171,0.8466666666666667,0.9004329004329005
ignore,40,0.8713910761154856,0.835016835016835,0.8946236559139785
ignore,40,0.8740157480314961,0.8509316770186336,0.8909090909090909
ignore,40,0.910761154855643,0.89375,0.9230769230769231
ignore,40,0.8530183727034121,0.8169934640522876,0.8771929824561403
ignore,40,0.9238845144356955,0.9067524115755627,0.9356984478935698
ignore,41,0.863517060367454,0.8243243243243243,0.8884120171673819
ignore,41,0.868766404199475,0.8417721518987342,0.8878923766816144
ignore,41,0.9002624671916011,0.879746835443038,0.9147982062780269
ignore,41,0.8976377952755905,0.8792569659442725,0.9111617312072893
ignore,41,0.8792650918635171,0.8466666666666667,0.9004329004329005
ignore,41,0.868766404199475,0.831081081081081,0.8927038626609443
ignore,41,0.8740157480314961,0.8509316770186336,0.8909090909090909
ignore,41,0.9133858267716536,0.896551724137931,0.9255079006772009
ignore,41,0.8556430446194225,0.8208469055374593,0.8791208791208791
ignore,41,0.9212598425196851,0.9038461538461539,0.9333333333333333
ignore,42,0.8608923884514436,0.8215488215488216,0.886021505376344
ignore,42,0.868766404199475,0.8417721518987342,0.8878923766816144
ignore,42,0.8976377952755905,0.8761904761904762,0.912751677852349
ignore,42,0.8976377952755905,0.88,0.9107551487414187
ignore,42,0.8740157480314961,0.84,0.8961038961038961
ignore,42,0.8713910761154856,0.835016835016835,0.8946236559139785
ignore,42,0.8766404199475065,0.8535825545171339,0.8934240362811792
ignore,42,0.910761154855643,0.89375,0.9230769230769231
ignore,42,0.8556430446194225,0.8208469055374593,0.8791208791208791
ignore,42,0.9186351706036745,0.9009584664536742,0.9309576837416481
ignore,43,0.863517060367454,0.825503355704698,0.8879310344827587
ignore,43,0.863517060367454,0.8354430379746836,0.8834080717488789
ignore,43,0.8976377952755905,0.8761904761904762,0.912751677852349
ignore,43,0.9002624671916011,0.8827160493827161,0.91324200913242
ignore,43,0.8792650918635171,0.8466666666666667,0.9004329004329005
ignore,43,0.8740157480314961,0.8378378378378378,0.8969957081545065
ignore,43,0.8740157480314961,0.8509316770186336,0.8909090909090909
ignore,43,0.905511811023622,0.8881987577639752,0.9181818181818182
ignore,43,0.8556430446194225,0.8220064724919094,0.8785871964679912
ignore,43,0.9212598425196851,0.9038461538461539,0.9333333333333333
ignore,44,0.8608923884514436,0.8215488215488216,0.886021505376344
